,ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Free Trial Start Date,Free Trial Expiration,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,InvoiceDate,Cluster
0,9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,2020-03-03,2020-06-08,No,Yes,3/3/2020,3/6/2020,On,Europe,Consumer,Web,No,Yes,52.0,11.0,0.0,5.0,0.0,2020-03-03,0
3,12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-10-17,2020-01-21,No,Yes,10/17/2019,10/20/2019,Off,US/Canada,Consumer,Web,Yes,Yes,94.0,0.0,0.0,0.0,0.0,2019-10-17,1
6,17,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-25,2099-01-01,No,Yes,3/20/2020,3/23/2020,Off,US/Canada,Consumer,Web,Yes,Yes,8.0,6.0,3.0,2.0,1.0,2020-03-25,0
9,42,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,2020-01-27,2020-04-30,No,Yes,1/27/2020,1/30/2020,Off,US/Canada,Consumer,Web,Yes,Yes,19.0,11.0,4.0,7.0,2.0,2020-01-27,1
12,43,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-22,2019-11-25,No,Yes,8/22/2019,8/25/2019,Off,Europe,Consumer,Web,No,Yes,79.0,56.0,1.0,38.0,1.0,2019-08-22,1
15,79,FRA,Limited,INITIAL_PURCHASE,Web,119.0,USD,2019-09-04,2020-03-07,No,Yes,1/23/2020,1/26/2020,Off,US/Canada,Consumer,Web,Yes,Yes,9.0,0.0,0.0,0.0,0.0,2019-09-04,1
18,84,RUS,Limited,INITIAL_PURCHASE,Web,143.76,USD,2019-09-27,2019-12-30,No,Yes,6/6/2019,6/9/2019,On,US/Canada,Consumer,Web,Yes,Yes,2.0,0.0,0.0,0.0,0.0,2019-09-27,1
21,105,FRA,Limited,RENEWAL,Web,35.97,USD,2019-10-18,2020-07-21,No,Yes,10/18/2019,10/21/2019,On,US/Canada,Consumer,Web,Yes,Yes,6.0,4.0,0.0,2.0,0.0,2019-10-18,1
24,106,ENG,Limited,RENEWAL,Web,79.0,USD,2019-07-14,2020-02-08,No,Yes,7/14/2019,7/17/2019,Off,US/Canada,Consumer,Web,Yes,Yes,274.0,243.0,7.0,74.0,1.0,2019-07-14,1
27,114,ALL,Lifetime,INITIAL_PURCHASE,Web,189.0,USD,2020-03-05,2099-01-01,No,Yes,3/4/2020,3/7/2020,Off,Other,Consumer,Web,No,Yes,5.0,5.0,0.0,1.0,0.0,2020-03-05,0
30,119,ARA,Limited,INITIAL_PURCHASE,Web,53.84,USD,2019-12-12,2020-06-16,No,Yes,12/12/2019,12/15/2019,Off,Europe,Consumer,Web,No,Yes,12.0,12.0,12.0,2.0,2.0,2019-12-12,1
33,129,DEU,Limited,INITIAL_PURCHASE,Web,75.38,USD,2020-03-24,2020-09-30,No,Yes,3/24/2020,3/27/2020,On,Europe,Consumer,Web,No,Yes,13.0,7.0,5.0,3.0,2.0,2020-03-24,0
